State,Week,Value
Idaho,03/02/2012,1
Idaho,10/02/2012,1
Idaho,17/02/2012,1
Idaho,24/02/2012,1
Idaho,02/03/2012,0
Idaho,09/03/2012,0
Idaho,16/03/2012,0
Idaho,23/03/2012,0
Idaho,30/03/2012,0
Idaho,05/04/2012,0
Idaho,13/04/2012,0
Idaho,20/04/2012,0
Idaho,27/04/2012,0
Idaho,04/05/2012,0
Idaho,11/05/2012,0
Idaho,18/05/2012,0
Idaho,25/05/2012,0
Idaho,01/06/2012,0
Idaho,08/06/2012,0
Idaho,15/06/2012,0
Idaho,22/06/2012,0
Idaho,29/06/2012,0
Idaho,06/07/2012,0
Idaho,13/07/2012,0
Idaho,20/07/2012,0
Idaho,27/07/2012,0
Idaho,03/08/2012,0
Idaho,10/08/2012,0
Idaho,17/08/2012,0
Idaho,24/08/2012,0
Idaho,31/08/2012,0
Idaho,07/09/2012,0
Idaho,14/09/2012,0
Idaho,21/09/2012,0
Idaho,28/09/2012,0
Idaho,05/10/2012,0
Idaho,12/10/2012,0
Idaho,19/10/2012,0
Idaho,26/10/2012,0
Idaho,02/11/2012,0
Idaho,09/11/2012,0
Idaho,16/11/2012,0
Idaho,21/11/2012,0
Idaho,30/11/2012,0
Idaho,07/12/2012,0
Idaho,14/12/2012,0
Idaho,21/12/2012,0
Idaho,28/12/2012,0
Idaho,04/01/2013,0
Idaho,11/01/2013,0
Idaho,18/01/2013,0
Idaho,25/01/2013,0
Idaho,01/02/2013,0
Idaho,08/02/2013,0
Idaho,15/02/2013,0
Idaho,22/02/2013,0
Idaho,01/03/2013,0
Idaho,08/03/2013,0
Idaho,15/03/2013,0
Idaho,22/03/2013,0
Idaho,28/03/2013,0
Idaho,05/04/2013,0
Idaho,12/04/2013,0
Idaho,19/04/2013,0
Idaho,26/04/2013,0
Idaho,03/05/2013,0
Idaho,10/05/2013,0
Idaho,17/05/2013,0
Idaho,24/05/2013,0
Idaho,31/05/2013,0
Idaho,07/06/2013,0
Idaho,14/06/2013,0
Idaho,21/06/2013,0
Idaho,28/06/2013,0
Idaho,03/07/2013,0
Idaho,12/07/2013,0
Idaho,19/07/2013,0
Idaho,26/07/2013,0
Idaho,02/08/2013,0
Idaho,09/08/2013,0
Idaho,16/08/2013,0
Idaho,23/08/2013,0
Idaho,30/08/2013,0
Idaho,06/09/2013,0
Idaho,13/09/2013,0
Idaho,20/09/2013,0
Idaho,27/09/2013,0
Idaho,04/10/2013,0
Idaho,11/10/2013,0
Idaho,18/10/2013,0
Idaho,25/10/2013,0
Idaho,01/11/2013,0
Idaho,08/11/2013,0
Idaho,15/11/2013,0
Idaho,22/11/2013,0
Idaho,27/11/2013,0
Idaho,06/12/2013,0
Idaho,13/12/2013,0
Idaho,20/12/2013,0
Idaho,27/12/2013,0
Idaho,03/01/2014,0
Idaho,10/01/2014,1
Idaho,17/01/2014,1
Idaho,24/01/2014,1
Idaho,31/01/2014,1
Idaho,07/02/2014,1
Idaho,14/02/2014,1
Idaho,21/02/2014,1
Idaho,28/02/2014,1
Idaho,07/03/2014,1
Idaho,14/03/2014,1
Idaho,21/03/2014,1
Idaho,28/03/2014,1
Idaho,04/04/2014,1
Idaho,11/04/2014,1
Idaho,17/04/2014,1
Idaho,25/04/2014,0
